slug
adm
admin
administration
administrator
ambassador
bot
bots
ceo
cfo
coo
cto
director
employee
employees
exec
executive
founder
guest
guests
intern
leadership
manager
mod
moderator
official
operator
owner
owners
partner
partners
president
representative
staff
supervisor
verified
vp
