slug
api
bug
cli
code
codereview
debug
dev
devel
developer
developers
doc
docs
documentation
gist
git
github
graph
graphql
grpc
oembed
openapi
playground
readme
redoc
release
repo
repositories
repository
rest
sandbox
sdk
spec
swagger
v1
v2
v3
v4
version
webhook
webhooks
