slug
ajax
android
apple
atom
css
flash
html
http
https
ipad
iphone
irc
java
javascript
js
json
linux
mac
mp3
pda
perl
php
python
rss
ruby
smartphone
sql
swf
tablet
tablets
tux
websocket
windows
xfn
xml
xmpp
xmppsuggest
yaml
yml
