slug
admin-ajax
adminer
apple-app-site-association
assetlinks
cpanel
crossdomain
drupal
elmah
env
filemanager
installer
joomla
magento
manager
myadmin
phpinfo
plesk
setup-config
sql
webmin
well-known
wordpress
wp
wp-admin
wp-content
wp-includes
wp-json
wp-login
xmlrpc
